fullName,description,url,stars,size,language,pushedAt,forks,openIssues
spring-projects/spring-tools,The next generation of tooling for Spring Boot; including support for Cloud Foundry manifest files; Concourse CI pipeline definitions; BOSH deployment manifests; and more... - Available for Visual Studio Code; Cursor; Eclipse; and Theia,https://github.com/spring-projects/spring-tools,969,204592,Java,Fri Jun 26 21:55:38 CST 2026,231,151
logamee/lin-cms-spring-boot,🔨 基于SpringBoot的CMS/DMS/管理系统开发框架,https://github.com/logamee/lin-cms-spring-boot,956,765,Java,Mon Sep 22 01:59:25 CST 2025,267,45
dromara/dante-cloud,🐉 Dante Cloud 国内首个支持阻塞式和响应式服务并行的微服务云原生基座。采用领域驱动模型(DDD)设计思想，以「高质量代码、低安全漏洞」为核心，高度模块化和组件化设计，支持IoT等物联网设备认证，满足国家三级等保要求、支持接口国密数字信封加解密等系列安全体系的多租户微服务解决方案。独创的“一套代码实现微服务和单体两种架构灵活切换”的企业级微服务平台。🔝🔝 点个star 持续关注更新！,https://github.com/dromara/dante-cloud,949,220857,Java,Fri Jun 26 07:50:42 CST 2026,211,2
codecentric/chaos-monkey-spring-boot,Chaos Monkey for Spring Boot,https://github.com/codecentric/chaos-monkey-spring-boot,941,6402,Java,Mon Jun 29 16:48:34 CST 2026,173,15
Erudika/scoold,The Stack Overflow clone for your team (self-hosted or hosted),https://github.com/Erudika/scoold,919,15908,Java,Tue Jun 30 01:08:45 CST 2026,230,9
terrakube-io/terrakube,Open source IaC Automation and Collaboration Software.,https://github.com/terrakube-io/terrakube,916,18193,Java,Tue Jun 30 09:51:42 CST 2026,106,107
liuyueyi/quick-media,media(audio/image/qrcode/markdown/html/svg/png) support (多媒体编辑服务; 酷炫二维码; 音频; 图片; svg; markdown; html渲染服务支持)  ,https://github.com/liuyueyi/quick-media,910,41486,Java,Mon Feb 09 01:03:24 CST 2026,324,27
apache/causeway,Use Apache Causeway™ to rapidly develop domain-driven apps or modular monoliths in Java; on top of the Spring Boot platform. Write your business logic in entities; domain services or view models; and the framework dynamically generates a representation of that domain model as a webapp; GraphQL or RESTful API. For prototyping or production.,https://github.com/apache/causeway,890,402028,Java,Tue Jun 30 10:16:22 CST 2026,318,10
PlaytikaOSS/testcontainers-spring-boot,Container auto-configurations for Spring Boot based integration tests,https://github.com/PlaytikaOSS/testcontainers-spring-boot,878,7383,Java,Tue Jun 30 03:42:43 CST 2026,256,40
bfwg/springboot-jwt-starter,A Spring Boot JWT starter kit for stateless and token-based authentication apps.,https://github.com/bfwg/springboot-jwt-starter,845,269,Java,Wed Apr 22 18:33:14 CST 2026,284,6
